from,to,sections_borrowed
OR,AK,709
KY,AR,774
MO,AR,107
CA,AZ,889
MT,AZ,134
NY,CA,840
CA,CO,179
IL,CO,159
IN,DC,229
NY,FL,189
KY,IA,180
CA,ID,1971
NV,ID,384
NY,IN,168
OH,KS,698
NY,MN,921
WI,MN,488
NY,MO,157
CA,MT,1565
ID,MT,229
NY,NC,245
CA,ND,187
NY,ND,123
IA,NE,1048
OH,NE,793
MO,NM,102
CA,NV,828
KY,OH,203
NY,OH,135
IN,OK,695
KS,OK,771
CA,OR,240
NY,OR,569
NY,SC,232
CA,SD,445
ND,SD,349
AZ,TX,241
KY,TX,137
CA,UT,789
NV,UT,251
WV,VA,105
CA,WA,325
OR,WA,432
MA,WI,185
NY,WI,1180
VA,WV,635
NE,WY,290
OH,WY,751
